question_code,question_text,question_subquestion_text,scoring_codes,additional_comments_1,additional_comments_2,original_question_long_string,,
Q19_6,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ","at least part of the costs of data acquisition, retrieval or provision must be recovered.","1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... at least part of the costs of data acquisition, retrieval or provision must be recovered., 2 = no, 3 = not sure",,
Q19_7,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ","results based (at least in part) on the data could not be disseminated without the data provider having the opportunity to review the results and make suggestions or comments, but approval not required. ","1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... results based (at least in part) on the data could not be disseminated without the data provider having the opportunity to review the results and make suggestions or comments, but approval not required., 2 = no, 3 = not sure",,
Q19_8,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ",reprints of articles that make use of the data must be provided to the data providere,"1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... reprints of articles that make use of the data must be provided to the data provider., 2 = no, 3 = not sure",,
Q19_9,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ","the data provider is given a complete list of all products that make use of the data, including articles, presentations, educational materials, etc. ","1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... the data provider is given a complete list of all products that make use of the data, including articles, presentations, educational materials, etc., 2 = no, 3 = not sure",,
Q19_10,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ",legal permission for data use is obtained,"1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... legal permission for data use is obtained.  1 = yes, 2 = no, 3 = not sure",,
Q19_11,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ",mutual agreement on reciprocal sharing of data,"1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... mutual agreement on reciprocal sharing of data., 2 = no, 3 = not sure",,
Q19_12,"The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... ",the data provider is given and agrees to a statement of uses to which the data will be put,"1 = yes, 2 = no, 3 = not sure",originally (Q22),,"22) The following statements relate to conditions for use of your data. For others to use my data, I would expect the following in exchange... the data provider is given and agrees to a statement of uses to which the data will be put., 2 = no, 3 = not sure",,
Q20_1,The following statements relate to how your organization is involved with managing and storing data.  My organization has a formal process for… ,managing data during the life of the project (short-term),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q17),,"17) The following statements relate to how your organization is involved with managing and storing data.  ….managing data during the life of the project (short-term). 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q20_2,The following statements relate to how your organization is involved with managing and storing data.  My organization has a formal process for… ,storing data beyond the life of the project (long-term),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q17),,"17) The following statements relate to how your organization is involved with managing and storing data. ….storing data beyond the life of the project (long-term). 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q21_1,You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Which of the following are involved with this process? ,Research support unit(s),1 = yes,originally (Q17A),,17A) You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Research support unit(s).,,
Q21_2,You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Which of the following are involved with this process? ,The library,1 = yes,originally (Q17A),,17A) You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). The library.,,
Q21_3,You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Which of the following are involved with this process? ,Information technology support unit(s),1 = yes,originally (Q17A),,17A) You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Information technology support unit(s).,,
Q21_4,You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Which of the following are involved with this process? ,Administrative office(s),1 = yes,originally (Q17A),,17A) You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Administrative office(s).,,
Q21_5,You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Which of the following are involved with this process? ,Designated data manager(s),1 = yes,originally (Q17A),,"17A) You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Designated data manager(s).
 ",,
Q21_6,You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Which of the following are involved with this process? ,Colleagues in my own unit / department,1 = yes,originally (Q17A),,17A) You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Colleagues in my own unit / department .,,
Q21_7,You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Which of the following are involved with this process? ,Other (please specify),1 = yes,originally (Q17A),,17A) You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Other (please specify).,,
Q21_7_TEXT,You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Which of the following are involved with this process? ,Other (please specify) Text,,originally (Q17A),,17A) You have expressed agreement (strongly or somewhat) that your organization or project has a formal process for managing or storing data during or beyond the life of the project (short-term or long-term). Other (please specify) Text,,
Q22_1,The following statements relate to how your organization is involved with training. My organization or project provides training or assistance on… ,training on best practices for data management,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q18),,"18) The following statements relate to how your organization is involved with training. ….training on best practices for data management. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q22_2,The following statements relate to how your organization is involved with training. My organization or project provides training or assistance on… ,assistance on creating data management plans,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q18),,"18) The following statements relate to how your organization is involved with training assistance on creating data management plans. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q22_3,The following statements relate to how your organization is involved with training. My organization or project provides training or assistance on… ,creating metadata to describe my data or datasets,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q18),,"18) The following statements relate to how your organization is involved with training assistance on creating metadata to describe my data or datasets. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q22_4,The following statements relate to how your organization is involved with training. My organization or project provides training or assistance on… ,how to cite datasets,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q18),,"18) The following statements relate to how your organization is involved with training training on how to cite datasets. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q23_1,You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Which of the following provides this training?  ,Research support unit(s),1 = yes,originally (Q18A),,18A) You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Research support unit(s).  1 = yes,,
Q23_2,You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Which of the following provides this training?  ,The library,1 = yes,originally (Q18A),,18A) You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  The library.  1 = yes,,
Q23_3,You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Which of the following provides this training?  ,Information technology support unit(s),1 = yes,originally (Q18A),,18A) You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Information technology support unit(s).  1 = yes,,
Q23_4,You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Which of the following provides this training?  ,Administrative office(s),1 = yes,originally (Q18A),,18A) You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Administrative office(s).  1 = yes,,
Q23_5,You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Which of the following provides this training?  ,Designated data manager(s),1 = yes,originally (Q18A),,18A) You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Designated data manager(s).  1 = yes,,
Q23_6,You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Which of the following provides this training?  ,Colleagues in my own unit/department,1 = yes,originally (Q18A),,18A) You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Colleagues in my own unit/department.  1 = yes,,
Q23_7,You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Which of the following provides this training?  ,Other,1 = yes,originally (Q18A),,18A) You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Other.  1 = yes,,
Q23_7_TEXT,You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Which of the following provides this training?  ,Other Text,,originally (Q18A),,18A) You have expressed agreement (strongly or somewhat) that your organization or project provides training on best practices for data management.  Other Text,,
Q24_1,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans.  Which of the following provides this assistance?,Research support unit(s),1 = yes,originally (Q18B),,18B) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans. Research support unit(s).,,
Q24_2,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans.  Which of the following provides this assistance?,The library,1 = yes,originally (Q18B),,18B) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans. The library.  1 = yes,,
Q24_3,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans.  Which of the following provides this assistance?,Information technology support unit(s),1 = yes,originally (Q18B),,18B) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans. Information technology support unit(s).  1 = yes,,
Q24_4,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans.  Which of the following provides this assistance?,Administrative office(s),1 = yes,originally (Q18B),,18B) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans. Administrative office(s).  1 = yes,,
Q24_5,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans.  Which of the following provides this assistance?,Designated data manager(s),1 = yes,originally (Q18B),,18B) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans. Designated data manager(s).  1 = yes,,
Q24_6,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans.  Which of the following provides this assistance?,Colleagues in my own unit/department,1 = yes,originally (Q18B),,18B) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans. Colleagues in my own unit/department.  1 = yes,,
Q24_7,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans.  Which of the following provides this assistance?,Other,1 = yes,originally (Q18B),,18B) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans. Other.  1 = yes,,
Q24_7_TEXT,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans.  Which of the following provides this assistance?,Other Text,,originally (Q18B),,18B) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating data management plans. Other Text,,
Q25_1,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets.  Which of the following provides this assistance? ,"Research support unit(s)
",1 = yes,originally (Q18C),,"18C) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets. Research support unit(s).  1 = yes
",,
Q25_2,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets.  Which of the following provides this assistance? ,The library,1 = yes,originally (Q18C),,18C) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets. The library .  1 = yes,,
Q25_3,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets.  Which of the following provides this assistance? ,Information technology support unit(s),1 = yes,originally (Q18C),,"18C) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets. Information technology support unit(s).  1 = yes
",,
Q25_4,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets.  Which of the following provides this assistance? ,Administrative office(s),1 = yes,originally (Q18C),,"18C) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets. Administrative office(s).  1 = yes
",,
Q25_5,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets.  Which of the following provides this assistance? ,Designated data manager(s),1 = yes,originally (Q18C),,"18C) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets. Designated data manager(s).  1 = yes
",,
Q25_6,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets.  Which of the following provides this assistance? ,Colleagues in my own unit/department,1 = yes,originally (Q18C),,"18C) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets.Colleagues in my own unit/department.  1 = yes
",,
Q25_7,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets.  Which of the following provides this assistance? ,Other,1 = yes,originally (Q18C),,"18C) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets. Other.  1 = yes
",,
Q25_7_TEXT,You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets.  Which of the following provides this assistance? ,"Other Text
",,originally (Q18C),,"18C) You have expressed agreement (strongly or somewhat) that your organization provides assistance on creating metadata to describe your data or datasets. Other Text
",,
Q26_1,You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Which of the following provides this training?  ,Research support unit(s),1 = yes,originally (Q18D),,18D) You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Research support unit(s).,,
Q26_2,You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Which of the following provides this training?  ,The library,1 = yes,originally (Q18D),,18D) You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. The library.,,
Q26_3,You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Which of the following provides this training?  ,Information technology support unit(s),1 = yes,originally (Q18D),,18D) You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Information technology support unit(s).,,
Q26_4,You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Which of the following provides this training?  ,You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Administrative office(s).,1 = yes,originally (Q18D),,18D) You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Administrative office(s).,,
Q26_5,You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Which of the following provides this training?  ,Designated data manager(s),1 = yes,originally (Q18D),,18D) You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Designated data manager(s).,,
Q26_6,You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Which of the following provides this training?  ,Colleagues in my own unit/department,1 = yes,originally (Q18D),,18D) You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Colleagues in my own unit/department.,,
Q26_7,You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Which of the following provides this training?  ,Other,1 = yes,originally (Q18D),,18D) You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Other.,,
Q26_7_TEXT,You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Which of the following provides this training?  ,Other text,,originally (Q18D),,18D) You have expressed agreement (strongly or somewhat) that your organization provides training on how to cite datasets. Other text,,
Q27_1,The following statements relate to how your organization is involved with funding for data management. My organization or project provides the funds to support data management… ,during the life of a research project (short-term),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q19),,"19) The following statements relate to how your organization is involved with funding for data management. .during the life of a research project (short-term). 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q27_2,The following statements relate to how your organization is involved with funding for data management. My organization or project provides the funds to support data management… ,beyond the life of a research project (long-term),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q19),,"19) The following statements relate to how your organization is involved with funding for data management ….beyond the life of a research project (long-term). 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q28_1,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Which of the following are involved with this process? ,Research support unit(s),1 = yes,originally (Q19-1A),,19-1A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term). Research support unit(s).,,
Q28_2,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Which of the following are involved with this process? ,The library,1 = yes,originally (Q19-1A),,19-1A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term). The library.,,
Q28_3,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Which of the following are involved with this process? ,Information technology support unit(s),1 = yes,originally (Q19-1A),,"19-1A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Information technology support unit(s).
",,
Q28_4,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Which of the following are involved with this process? ,"Administrative office(s)
",1 = yes,originally (Q19-1A),,"19-1A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term). Administrative office(s).
",,
Q28_5,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Which of the following are involved with this process? ,"Designated data manager(s)
",1 = yes,originally (Q19-1A),,"19-1A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term). Designated data manager(s).
",,
Q28_6,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Which of the following are involved with this process? ,Colleagues in my own unit/department,1 = yes,originally (Q19-1A),,"19-1A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term). Colleagues in my own unit/department.
",,
Q28_7,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Which of the following are involved with this process? ,"Other
",1 = yes,originally (Q19-1A),,"19-1A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Other.
",,
Q28_7_TEXT,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Which of the following are involved with this process? ,"Other Text 
",,originally (Q19-1A),,"19-1A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary funds to support data management during or beyond the life of the project (short-term or long-term).  Other Text 
",,
Q29_1,The following statements relate to how your organization is involved with software tools and technical support. My organization or project provides the software tools and technical support for data management ,during the life of the project (short-term),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q19-2),,"19-2) The following statements relate to how your organization is involved with software tools and technical support. My organization or project provides the software tools and technical support during the life of the project (short-term). 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q29_2,The following statements relate to how your organization is involved with software tools and technical support. My organization or project provides the software tools and technical support for data management ,beyond the life of the project (long-term),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q19-2),,"19-2) The following statements relate to how your organization is involved with software tools and technical support. My organization or project provides the software tools and technical support beyond the life of the project (long-term). 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q30_1,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Which of the following provide this service?,Research support unit(s),,originally (Q19-2A),,19-2A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term).Research support unit(s).,,
Q30_2,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Which of the following provide this service?,The library,1 = yes,originally (Q19-2A),,19-2A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term).The library.,,
Q30_3,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Which of the following provide this service?,Information technology support unit(s),1 = yes,originally (Q19-2A),,19-2A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term).  Information technology support unit(s).,,
Q30_4,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Which of the following provide this service?,Administrative office(s),1 = yes,originally (Q19-2A),,19-2A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Administrative office(s).,,
Q30_5,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Which of the following provide this service?,Designated data manager(s),1 = yes,originally (Q19-2A),,19-2A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term).  Designated data manager(s).,,
Q30_6,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Which of the following provide this service?,Colleagues in my own unit/department,1 = yes,originally (Q19-2A),,19-2A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Colleagues in my own unit/department.,,
Q30_7,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Which of the following provide this service?,Other,1 = yes,originally (Q19-2A),,19-2A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Other.,,
Q30_7_TEXT,You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term). Which of the following provide this service?,Other Text,,originally (Q19-2A),,19-2A) You have expressed agreement (strongly or somewhat) that your organization or project provides the necessary tools and technical support for data management during or beyond the life of the project (short-term or long-term).Other Text,,
Q31_1,The following statements relate to your views on the use of scientific research data. ,Lack of access to data generated by other researchers or institutions is a major impediment to progress in science,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q20),,"20) The following statements relate to your views on the use of scientific research data. Lack of access to data generated by other researchers or institutions is a major impediment to progress in science. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q31_2,The following statements relate to your views on the use of scientific research data. ,Lack of access to data generated by other researchers or institutions has restricted my ability to answer scientific questions,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q20),,"20) The following statements relate to your views on the use of scientific research data. Lack of access to data generated by other researchers or institutions has restricted my ability to answer scientific questions. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q31_3,The following statements relate to your views on the use of scientific research data. ,Data may be misinterpreted due to complexity of the data,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q20),,"20) The following statements relate to your views on the use of scientific research data. Data may be misinterpreted due to complexity of the data. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q31_4,The following statements relate to your views on the use of scientific research data. ,Data may be misinterpreted due to poor quality of the data,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q20),,"20) The following statements relate to your views on the use of scientific research data. Data may be misinterpreted due to poor quality of the data. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q31_5,The following statements relate to your views on the use of scientific research data. ,Data may be used in other ways than intended,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q20),,"20) The following statements relate to your views on the use of scientific research data. Data may be used in other ways than intended.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q32_1,The following statements relate to your views on the use of scientific research data. ,I would use other researchers' datasets if their datasets were easily accessible,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q21),,"21) The following statements relate to sharing scientific data. Tell us how much you agree with each statement. I would use other researchers' datasets if their datasets were easily accessible.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q32_2,The following statements relate to your views on the use of scientific research data. ,I would be willing to place at least some of my data into a central data repository with no restrictions,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q21),,"21) The following statements relate to sharing scientific data. Tell us how much you agree with each statement. I would be willing to place at least some of my data into a central data repository with no restrictions. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
