counter,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2,Q2_text,Q3,Q3_text,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_text,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_text,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_text,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11a_1,Q11a_2,Q11a_3,Q11a_4,Q11a_5,Q11a_6,Q11a_7,Q11a_8,Q11a_9,Q11a_10,Q11a_11,Q11a_12,Q11b_1,Q11b_2,Q11b_3,Q11b_4,Q11b_5,Q11b_6,Q11b_7,Q11b_8,Q11b_9,Q11b_10,Q11b_11,Q11b_12,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_text,Q13,Q14_text,Q15,Q15_text,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_text,Q19,Q19_text,Q20,Q21,Q22,Q23
224,25,10,5,50,5,5,extra curicullar,academic, ,Environmental science, ,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No, ,some,most,most,some,most,all, , ,Yes,Yes,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree strongly,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No, ,Associate Professor, ,United States of America,Arizona,44,Male
225,10,10, ,40,40, , ,academic, ,Environmental science, ,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No, ,some,none,some,none,none,none,none, ,No,No,No,Yes,Yes,No,No,No,Yes,Lack of time,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree strongly,disagree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree somewhat, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree somewhat,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,Yes,No,No,No,Yes,No,No,No,No,No, ,Assistant Professor, ,United States of America,North Carolina,32,Male
226,50,30,10,10, , , ,academic, ,Environmental science, ,No,No,No,No,No,No,Yes,No,No,No, ,some,most,most,most,most,most, , ,Yes,No,No,Yes,No,No,Yes,Yes,No, ,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Administrator, ,United States of America,California,38,Female
227,95, , ,5,0, , ,commercial, ,Hydrology, ,No,No,Yes,No,No,No,No,No,No,No, ,none,none,none,none,none,none, , ,Yes,No,No,Yes,Yes,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,disagree strongly,disagree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,No,Yes,Yes,No, , , , , , , , , , , , ,No,No,No,No,No,No,No, ,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Corporation, ,No,No,No,No,No,No,No,No,No,No,Yes,Google + other specific data sets,Administrator, ,United States of America,New Mexico,69,Male
228,10,20, ,50,20, , ,commercial, ,Other,Imaging,No,No,Yes,Yes,Yes,No,No,No,No,No, ,some, , , , , , , ,No,No,Yes,No,No,No,No,No,No, ,agree strongly,disagree somewhat,neither agree nor disagree,agree strongly,neither agree nor disagree,disagree strongly,agree strongly,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree somewhat,disagree strongly,disagree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,neither agree nor disagree,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Corporation, ,No,No,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,California, ,Male
229,20,10,10,40, , ,"Red tape (Fill out forms, administrative reports)",government, ,Forestry,Forestry,Yes,Yes,Yes,Yes,No,No,No,No,No,No, ,some,none,some,none,none,none,none, ,Yes,No,No,Yes,No,No,No,Yes,No, ,disagree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,disagree strongly,agree somewhat,disagree strongly,disagree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,No,Upper level management in the Government.,Federal/national government, ,No,Yes,Yes,No,No,No,No,No,No,Yes,No, ,Researcher, ,Cape Verde, ,40,Male
230, , , ,100, , , ,academic, ,Hydrology, ,No,No,No,Yes,No,No,No,No,No,No, ,some,some,all,most,all,none, , ,No,No,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,agree strongly,agree somewhat,agree strongly,agree somewhat,agree strongly,agree strongly,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,Yes,Ameriflux,Researcher, ,United States of America,Arizona,49,Male
231,5, ,5,10, ,80,Regulatory,government, ,Environmental science, ,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No, ,some,none,some,some,some,none, , ,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,agree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree somewhat,disagree strongly,agree strongly,agree strongly,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree somewhat,agree strongly,neither agree nor disagree,agree strongly,disagree somewhat,agree somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No, ,No,Headquarters,Federal/national government, ,No,Yes,No,No,Yes,No,No,No,No,No,No, ,Other,Regulator,United States of America,Virginia,46,Male
232, , , ,100, , , ,academic, ,Environmental science, ,Yes,No,No,No,No,No,Yes,No,Yes,No, ,some, , , , , ,some,on research sponsor's website,No,No,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,disagree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat, ,agree strongly,agree somewhat,agree strongly,agree strongly,agree somewhat,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,State/regional government, ,No,Yes,No,No,No,Yes,No,No,No,No,No, ,Researcher, ,United States of America,Wisconsin,42,Female
233,30, , ,70, , , ,government, ,Ecology, ,Yes,No,No,Yes,No,No,No,Yes,No,No, ,none,none,none,none,none,none, , ,Yes,No,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,neither agree nor disagree,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Utah,65,Male
234,20, ,10,30,40, , ,academic, ,Atmospheric science, ,Yes,No,Yes,Yes,No,No,No,No,No,No, ,most, , , ,most, , , ,No,No,No,No,Yes,No,No,No,No, ,neither agree nor disagree,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,agree strongly,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree strongly,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Assistant Professor, ,Argentina, ,48,Female
235,25,5,5,55,10, , ,academic, ,Biology, ,Yes,Yes,No,Yes,No,Yes,No,No,No,No, ,none,none,some,none,none,some, , ,Yes,No,No,Yes,Yes,No,No,No,No, ,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,agree strongly,agree somewhat,disagree somewhat,neither agree nor disagree,agree strongly,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,neither agree nor disagree,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,Yes,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Nevada,30,Male
236, , , ,50, , ,Coursework,academic, ,Environmental science, ,No,Yes,Yes,No,No,No,Yes,Yes,No,No, ,some,some,none,none,none,none, , ,No,No,No,No,No,No,No,No,Yes,Not ready to share,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,disagree somewhat,agree strongly,agree somewhat,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No, ,No,PI on the project,Federal/national government, ,Don't know,Yes,No,No,No,Yes,No,No,No,No,No, ,Graduate student, ,United States of America,Wisconsin,28,Female
237,1,5,10,84, , , ,academic, ,Environmental science, ,Yes,No,No,No,No,Yes,Yes,No,No,No, ,none,none,none,none,none,none, , ,No,Yes,No,Yes,Yes,No,No,No,No, ,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,neither agree nor disagree,neither agree nor disagree,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,disagree somewhat,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree strongly,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No, ,No,Advisor's/Corresponding Author's approval,State/regional government, ,No,No,No,No,No,No,No,No,No,Yes,No, ,Graduate student, ,United States of America,Minnesota,36,Female
238, ,30, , , ,70,IT Project Management (=Administration?) at USA-NPN,government, ,Ecology, ,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No, ,all, ,all, , , , ,At USA-NPN we plan to have all data avai,No,No,No,No,No,No,No,No,Yes,Included in plans,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,disagree somewhat,agree strongly,neither agree nor disagree,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,disagree somewhat,disagree strongly,agree strongly,agree somewhat,agree strongly, , , , , , , , , , , , , , , , , , , , , , , , ,No,No,No,No,No,No,No,No,No,No, ,No, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Other,IT Project Manager,United States of America,Arizona,31,Female
239,20,5,5,50,20, , ,academic, ,Ecology, ,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No, ,some,none,some,some,none,none,none, ,No,No,No,Yes,No,No,No,No,No, ,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,disagree strongly,agree somewhat,agree strongly,disagree somewhat,disagree strongly,disagree strongly,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No, ,Yes - for all my datasets, ,State/regional government, ,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No, ,Associate Professor, ,United States of America,Texas,44,Male
240, ,20,30,50, , , ,government, ,Environmental science, ,No,Yes,No,No,No,No,Yes,Yes,No,No, , , , , , , ,most,"journal websites as ""supplemental""",No,No,No,No,No,No,No,Yes,No, ,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,disagree somewhat,disagree strongly,disagree strongly,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,No,Yes,Yes, ,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes, ,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No, ,No,Data contributors.,State/regional government, ,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,National Forestry Database (Canada) ;  GeoGratis,Researcher, ,Canada, ,38,Female
241,0,0,0,100,0,0, ,government, ,Computer science, ,No,No,No,No,No,No,No,No,No,Yes,Biomedical,some,none,none,none,none,some,none, ,No,No,No,Yes,No,No,No,Yes,No, ,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,agree somewhat,neither agree nor disagree,disagree strongly,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,Don't know,No,No,No,No,No,No,No,No,Yes,No, ,Post-doctoral fellow, ,United Republic of Tanzania,California,32,Male
242,30, ,10,50,10, , ,academic, ,Environmental science, ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No, ,none,some,most,none,most,none,none, ,No,No,No,Yes,No,No,No,No,No, ,agree strongly,agree somewhat,agree somewhat,disagree somewhat,disagree strongly,agree strongly,agree strongly,agree strongly,disagree strongly,disagree somewhat,agree strongly,neither agree nor disagree,disagree somewhat,disagree strongly,agree strongly,disagree strongly,disagree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,disagree somewhat,disagree strongly,agree strongly,agree somewhat,disagree somewhat,agree strongly,disagree strongly,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,Yes,AmeriFlux,Professor, ,United States of America, ,50,Female
243,35,5, ,10,50, , ,academic, ,Biology, ,Yes,No,No,No,No,No,No,No,No,No, ,some,none,some,none,some,none, , ,No,No,No,Yes,No,No,No,No,No, ,disagree somewhat,neither agree nor disagree,agree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree strongly,disagree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree strongly,agree strongly,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes, ,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for some of my datasets, ,State/regional government, ,No,No,No,No,No,No,No,No,No,No,Yes,LBA/DIS,Assistant Professor, ,Brazil, ,39,Male
244,5,15,10,30,40, , ,academic, ,Geology,soil science,Yes,No,No,No,No,No,No,No,No,No, ,some,some,some,some,most, , , ,No,No,No,Yes,No,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,disagree somewhat,disagree somewhat,agree strongly,agree strongly,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Associate Professor, ,Brazil, ,53,Male
245,20,10,10,60, , , ,non-profit, ,Information science, ,No,No,Yes,No,No,No,Yes,Yes,No,No, ,none,none,none,none,none,none,none,Personal Server,No,No,No,Yes,No,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree strongly,neither agree nor disagree,agree strongly,agree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Private foundation, ,No,No,No,No,No,Yes,No,No,No,No,No, ,Researcher, ,Canada, ,60,Male
246,20,20,20,40, , , ,government, ,Environmental science, ,Yes,Yes,Yes,Yes,No,No,No,No,No,No, ,some,none,most, , , , , ,Yes,No,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree strongly,agree somewhat,disagree strongly,agree strongly,agree strongly,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly, ,disagree strongly,agree strongly,agree somewhat,agree strongly,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No, ,Researcher, ,United States of America,Colorado,48,Male
247,10,5,5,60,20, , ,government, ,Geography,GIS,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No, ,all, ,all, , , , , ,No,No,No,No,No,No,No,No,No, ,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree strongly,agree strongly,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,neither agree nor disagree,disagree somewhat,agree somewhat,agree strongly,agree somewhat,agree strongly,agree strongly,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No, ,No, ,Federal/national government, ,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,Researcher, ,United States of America,Wisconsin, , 
248,30,30, ,30,10, , ,academic, ,Geography,Geography,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,some,some, , , , , , ,No,No,No,No,Yes,No,Yes,Yes,No, ,neither agree nor disagree,disagree somewhat,disagree somewhat,agree somewhat,disagree strongly,agree strongly,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree strongly,agree somewhat,agree strongly,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No, ,Yes - for some of my datasets, ,Private foundation, ,No,Yes,Yes,No,No,Yes,No,No,No,No,No, ,Assistant Professor,Geosciences librarian,United States of America,Utah,37,Male
249,40,5,0,50,5, , ,government, ,Biology, ,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No, ,some,some,none,none,none,none,some, ,Yes,Yes,No,Yes,Yes,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree strongly,agree strongly,agree somewhat,neither agree nor disagree,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,disagree strongly,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,No,No,No,Yes,No,No,No,No,Yes,No, ,Researcher, ,United States of America,Wisconsin,43,Male
